doi,title,citation,authors_collapsed,affiliations_collapsed,dwr_contribution_collapsed,first_level,second_level,confidence,abstract,note,journal,publication_year,volume,issue,publisher,landing_page_url,pdf_url,is_oa,is_oa_anywhere,oa_status,license,cited_by_count,dwr_author,dwr_lead_author,dwr_sole_author,dwr_funding_other,first_dwr_author,first_dwr_author_position,first_dwr_author_division
10.1175/MWR-D-22-0268.1,Deep Learning Forecast Uncertainty for Precipitation over the Western United States,"Hu, W., Ghazvinian, M., Chapman, W.E., Sengupta, A., Ralph, F.M., and Monache, L.D. (2023). Deep Learning Forecast Uncertainty for Precipitation over the Western United States. Monthly Weather Review. 151(6). 1367-1385. doi:10.1175/MWR-D-22-0268.1.",Weiming Hu; Mohammadvaghef Ghazvinian; William E. Chapman; Agniv Sengupta; F. Martin Ralph; Luca Delle Monache,Scripps Institution of Oceanography; University of California San Diego,,computer and information sciences,machine learning,0.9,"Reliably quantifying uncertainty in precipitation forecasts remains a critical challenge. This work examines the application of a deep learning (DL) architecture, Unet, for postprocessing deterministic numerical weather predictions of precipitation to improve their skills and for deriving forecast uncertainty. Daily accumulated 0–4-day precipitation forecasts are generated from a 34-yr reforecast based on the West Weather Research and Forecasting (West-WRF) mesoscale model, developed by the Center for Western Weather and Water Extremes. The Unet learns the distributional parameters associated with a censored, shifted gamma distribution. In addition, the DL framework is tested against state-of-the-art benchmark methods, including an analog ensemble, nonhomogeneous regression, and mixed-type meta-Gaussian distribution. These methods are evaluated over four years of data and the western United States. The Unet outperforms the benchmark methods at all lead times as measured by continuous ranked probability and Brier skill scores. The Unet also produces a reliable estimation of forecast uncertainty, as measured by binned spread–skill relationship diagrams. Additionally, the Unet has the best performance for extreme events (i.e., the 95th and 99th percentiles of the distribution) and for these cases, its performance improves as more training data are available. Significance Statement Accurate precipitation forecasts are critical for social and economic sectors. They also play an important role in our daily activity planning. The objective of this research is to investigate how to use a deep learning architecture to postprocess high-resolution (4 km) precipitation forecasts and generate accurate and reliable forecasts with quantified uncertainty. The proposed approach performs well with extreme cases and its performance improves as more data are available in training.",Applying and evaluating deep learning for precipitation forecast uncertainty.,Monthly Weather Review,2023,151,6,American Meteorological Society,https://doi.org/10.1175/mwr-d-22-0268.1,https://journals.ametsoc.org/downloadpdf/journals/mwre/151/6/MWR-D-22-0268.1.pdf,TRUE,TRUE,bronze,,16,FALSE,FALSE,FALSE,TRUE,,,
10.1175/MWR-D-23-0111.1,An Assessment of Dropsonde Sampling Strategies for Atmospheric River Reconnaissance,"Zheng, M., Torn, R.D., Monache, L.D., Doyle, J.D., Ralph, F.M., Tallapragada, V., Davis, C.A., and Steinhoff, D.F. et al. (2024). An Assessment of Dropsonde Sampling Strategies for Atmospheric River Reconnaissance. Monthly Weather Review. 152(3). 811-835. doi:10.1175/MWR-D-23-0111.1.",Minghua Zheng; Ryan D. Torn; Luca Delle Monache; James D. Doyle; F. Martin Ralph; Vijay Tallapragada; Christopher A. Davis; Daniel F. Steinhoff; Xingren Wu; Anna M. Wilson; Caroline Papadopoulos; Patrick Mulrooney,Scripps Institution of Oceanography; University of California San Diego; State University of New York; Albany State University; United States Naval Research Laboratory; United States National Oceanic and Atmospheric Administration; National Center for Atmospheric Research; Axiom,,atmospheric sciences,meteorology,0.95,"During a 6-day intensive observing period in January 2021, Atmospheric River Reconnaissance (AR Recon) aircraft sampled a series of atmospheric rivers (ARs) over the northeastern Pacific that caused heavy precipitation over coastal California and the Sierra Nevada. Using these observations, data denial experiments were conducted with a regional modeling and data assimilation system to explore the impacts of research flight frequency and spatial resolution of dropsondes on model analyses and forecasts. Results indicate that dropsondes significantly improve the representation of ARs in the model analyses and positively impact the forecast skill of ARs and quantitative precipitation forecasts (QPF), particularly for lead times &gt; 1 day. Both reduced mission frequency and reduced dropsonde horizontal resolution degrade forecast skill. On the other hand, experiments that assimilated only G-IV data and experiments that assimilated both G-IV and C-130 data show better forecast skill than experiments that only assimilated C-130 data, suggesting that the additional information provided by G-IV data is necessary for improving forecast skill. Although this is a case study, the 6-day period studied encompassed multiple AR events that are representative of typical AR behavior. Therefore, the results indicate that future operational AR Recon missions incorporate daily mission or back-to-back flights, maintain current dropsonde spacing, support high-resolution data transfer capacity on the C-130s, and utilize G-IV aircraft in addition to C-130s.",Focuses on atmospheric river forecasting and dropsonde sampling strategies.,Monthly Weather Review,2024,152,3,American Meteorological Society,https://doi.org/10.1175/mwr-d-23-0111.1,,FALSE,FALSE,closed,,6,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-20-0012.1,Observations and Predictability of a High-Impact Narrow Cold-Frontal Rainband over Southern California on 2 February 2019,"Cannon, F., Oakley, N.S., Hecht, C.W., Michaelis, A., Cordeira, J.M., Kawzenuk, B., Demirdjian, R., and Weihs, R. et al. (2020). Observations and Predictability of a High-Impact Narrow Cold-Frontal Rainband over Southern California on 2 February 2019. Weather and Forecasting. 35(5). 2083-2097. doi:10.1175/WAF-D-20-0012.1.",Forest Cannon; Nina S. Oakley; Chad W. Hecht; A. Michaelis; Jason M. Cordeira; Brian Kawzenuk; Reuben Demirdjian; Rachel Weihs; Meredith A. Fish; Anna M. Wilson; F. Martin Ralph,University of California San Diego; Scripps Institution of Oceanography; Desert Research Institute; Plymouth State University,,atmospheric sciences,meteorology,0.95,"Short-duration, high-intensity rainfall in Southern California, often associated with narrow cold-frontal rainbands (NCFR), threaten life and property. While the mechanisms that drive NCFRs are relatively well understood, their regional characteristics, specific contribution to precipitation hazards, and their predictability in the western United States have received little research attention relative to their impact. This manuscript presents observations of NCFR physical processes made during the Atmospheric River Reconnaissance field campaign on 2 February 2019 and investigates the predictability of the observed NCFR across spatiotemporal scales and forecast lead time. Dropsonde data collected along transects of an atmospheric river (AR) and its attendant cyclone during rapid cyclogenesis, and radiosonde observations during landfall 24 h later, are used to demonstrate that a configuration of the Weather Research and Forecasting (WRF) Model skillfully reproduces the physical processes responsible for the development and maintenance of the impactful NCFR. Ensemble simulations provide quantitative uncertainty information on the representation of these features in numerical weather prediction and instill confidence in the utility of WRF as a forecast guidance tool for short- to medium-range prediction of mesoscale precipitation processes in landfalling ARs. This research incorporates novel data and methodologies to improve forecast guidance for NCFRs impacting Southern California. While this study focuses on a single event, the outlined approach to observing and predicting high-impact weather across a range of spatial and temporal scales will support regional water management and hazard mitigation, in general.","Focuses on atmospheric processes, rainbands, and weather forecasting using models.",Weather and Forecasting,2020,35,5,American Meteorological Society,https://doi.org/10.1175/waf-d-20-0012.1,https://journals.ametsoc.org/downloadpdf/journals/wefo/35/5/wafD200012.pdf,TRUE,TRUE,bronze,,20,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-20-0121.1,A Summary of GFS Ensemble Integrated Water Vapor Transport Forecasts and Skill along the U.S. West Coast during Water Years 2017-20,"Cordeira, J.M. and Ralph, F.M. (2021). A Summary of GFS Ensemble Integrated Water Vapor Transport Forecasts and Skill along the U.S. West Coast during Water Years 2017-20. Weather and Forecasting. 36(2). 361-377. doi:10.1175/WAF-D-20-0121.1.",Jason M. Cordeira; F. Martin Ralph,Plymouth State University; University of California San Diego; Scripps Institution of Oceanography,,atmospheric sciences,meteorology,0.95,"The ability to provide accurate forecasts and improve situational awareness of atmospheric rivers (ARs) is key to impact-based decision support services and applications such as forecast-informed reservoir operations. The purpose of this study is to quantify the cool-season water year skill for 2017–20 of the NCEP Global Ensemble Forecast System forecasts of integrated water vapor transport along the U.S. West Coast commonly observed during landfalling ARs. This skill is summarized for ensemble probability-over-threshold forecasts of integrated water vapor transport magnitudes ≥ 250 kg m −1 s −1 (referred to as P 250 ). The P 250 forecasts near North-Coastal California at 38°N, 123°W were reliable and successful at lead times of ~8–9 days with an average success ratio &gt; 0.5 for P 250 forecasts ≥ 50% at lead times of 8 days and Brier skill scores &gt; 0.1 at a lead time of 8–9 days. Skill and accuracy also varied as a function of latitude and event characteristics. The highest (lowest) success ratios and probability of detection values for P 250 forecasts ≥ 50% occurred on average across Northern California and Oregon (Southern California), whereas the average probability of detection of more intense and longer duration landfalling ARs was 0.1–0.2 higher than weaker and shorter duration events at lead times of 3–9 days. The potential for these forecasts to enhance situational awareness may also be improved, depending on individual applications, by allowing for flexibility in the location and time of verification; the success ratios increased 10%–30% at lead times of 5–10 days allowing for flexibility of ±1.0° latitude and ±6 h in verification.",Quantifies skill of atmospheric river and water vapor transport forecasts along the U.S. West Coast.,Weather and Forecasting,2021,36,2,American Meteorological Society,https://doi.org/10.1175/waf-d-20-0121.1,,FALSE,FALSE,closed,,11,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-20-0212.1,"A Climatological Study of National Weather Service Watches, Warnings, and Advisories and Landfalling Atmospheric Rivers in the Western United States 2006-18","Bartlett, S.M. and Cordeira, J.M. (2021). A Climatological Study of National Weather Service Watches, Warnings, and Advisories and Landfalling Atmospheric Rivers in the Western United States 2006-18. Weather and Forecasting. 36(3). 1097-1112. doi:10.1175/WAF-D-20-0212.1.",Samuel M. Bartlett; Jason M. Cordeira,Plymouth State University,,atmospheric sciences,climatology,0.95,"Atmospheric rivers (ARs) are synoptic-scale phenomena associated with long, narrow corridors of enhanced low-level water vapor transport. Landfalling ARs may produce numerous beneficial (e.g., drought amelioration and watershed recharge) and hazardous (e.g., flash flooding and heavy snow) impacts that may require the National Weather Service (NWS) to issue watches, warnings, and advisories (WWAs). Prior research on WWAs and ARs in California found that 50%–70% of days with flood-related and 60%–80% of days with winter weather–related WWAs occurred on days with landfalling ARs in California. The present study further investigates this relationship for landfalling ARs and WWAs during the cool seasons of 2006–18 across the entire western United States and considers additional dimensions of AR intensity and duration. Across the western United States, regional maxima of 70%–90% of days with WWAs issued for any hazard type were associated with landfalling ARs. In the Pacific Northwest and central regions, flood-related and wind-related WWAs were also more frequently associated with more intense and longer-duration ARs. While a large majority of days with WWAs were associated with landfalling ARs, not all landfalling ARs were necessarily associated with WWAs (i.e., not all ARs are hazardous). For example, regional maxima of only 50%–70% of AR days were associated with WWAs issued for any hazard type. However, as landfalling AR intensity and duration increased, the association with a WWA and the “hazard footprint” of WWAs increased quasi-exponentially across the western United States.","Analyzes long-term patterns and impacts of atmospheric rivers and associated weather warnings, fitting a climatological study.",Weather and Forecasting,2021,36,3,American Meteorological Society,https://doi.org/10.1175/waf-d-20-0212.1,,TRUE,TRUE,bronze,,1,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-21-0074.1,Demonstrating a Probabilistic Quantitative Precipitation Estimate for Evaluating Precipitation Forecasts in Complex Terrain,"Bytheway, J.L., Abel, M.R., Cifelli, R., Mahoney, K., and English, J.M. (2021). Demonstrating a Probabilistic Quantitative Precipitation Estimate for Evaluating Precipitation Forecasts in Complex Terrain. Weather and Forecasting. 37(1). 45-64. doi:10.1175/WAF-D-21-0074.1.",Janice L. Bytheway; Mimi R. Abel; Rob Cifelli; Kelly Mahoney; J. M. English,University of Colorado Boulder; Cooperative Institute for Research in Environmental Sciences; United States National Oceanic and Atmospheric Administration,,atmospheric sciences,meteorology,0.95,"Accurate quantitative precipitation estimates (QPEs) at high spatial and temporal resolution are difficult to obtain in regions of complex terrain due to the large spatial heterogeneity of orographically enhanced precipitation, sparsity of gauges, precipitation phase variations, and terrain effects that impact the quality of remotely sensed estimates. The large uncertainty of QPE in these regions also makes the evaluation of high-resolution quantitative precipitation forecasts (QPFs) challenging, as it can be difficult to choose a reference QPE that is reliable at both high and low elevations. In this paper we demonstrate a methodology to combine information from multiple high-resolution hourly QPE products to evaluate QPFs from NOAA’s High-Resolution Rapid Refresh (HRRR) model in a region of Northern California. The methodology uses the quantiles of monthly QPE distributions to determine a range of hourly precipitation that correspond to “good,” “possible,” “underestimated,” or “overestimated” QPFs. In this manuscript, we illustrate the use of the methodology to evaluate QPFs for seven atmospheric river events that occurred during the 2016–17 wet season in Northern California. Because the presence of frozen precipitation is often not captured by traditional QPE products, we evaluate QPFs both for all precipitation, and with likely frozen precipitation excluded. The methodology is shown to provide useful information to evaluate model performance while taking into account the uncertainty of available QPE at various temporal and spatial scales. The potential of the technique to evaluate changes between model versions is also shown.",Evaluates quantitative precipitation forecasts from a weather model.,Weather and Forecasting,2021,37,1,American Meteorological Society,https://doi.org/10.1175/waf-d-21-0074.1,,FALSE,FALSE,closed,,4,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-21-0114.1,Evaluating GFS and ECMWF Ensemble Forecasts of Integrated Water Vapor Transport along the U.S. West Coast,"Stewart, B.E., Cordeira, J.M., and Ralph, F.M. (2022). Evaluating GFS and ECMWF Ensemble Forecasts of Integrated Water Vapor Transport along the U.S. West Coast. Weather and Forecasting. 37(11). 1985-2004. doi:10.1175/WAF-D-21-0114.1.",Briana E. Stewart; Jason M. Cordeira; F. Martin Ralph,Plymouth State University; University of California San Diego; Scripps Institution of Oceanography,,atmospheric sciences,meteorology,0.95,"Atmospheric rivers (ARs) are long and narrow regions in the atmosphere of enhanced integrated water vapor transport (IVT) and can produce extreme precipitation and high societal impacts. Reliable and skillful forecasts of landfalling ARs in the western United States are critical to hazard preparation and aid in decision support activities, such as Forecast-Informed Reservoir Operations (FIRO). The purpose of this study is to compare the cool-season water year skill of the NCEP Global Ensemble Forecast System (GEFS) and ECMWF Ensemble Prediction System (EPS) forecasts of IVT along the U.S. West Coast for 2017–20. The skill is analyzed using probability-over-threshold forecasts of IVT magnitudes ≥ 250 kg m −1 s −1 ( P 250 ) using contingency table skill metrics in coastal Northern California and along the west coast of North America. Analysis of P 250 with lead time ( d Prog/ dt ) found that the EPS provided ∼1 day of additional lead time for situational awareness over the GEFS at lead times of 6–10 days. Forecast skill analysis highlights that the EPS leads over the GEFS with success ratios 0.10–0.15 higher at lead times &gt; 6 days for P 250 thresholds of ≥25% and ≥50%, while event-based skill analysis using the probability of detection (POD) found that both models were largely similar with minor latitudinal variations favoring higher POD for each model in different locations along the coast. The relative skill of the EPS over the GEFS is largely attributed to overforecasting by the GEFS at longer lead times and an increase in the false alarm ratio. Significance Statement The purpose of this study is to evaluate the efficacy of the NCEP Global Ensemble Forecast System (GEFS) and the ECMWF Ensemble Prediction System (EPS) in forecasting enhanced water vapor transport along the U.S. West Coast commonly associated with landfalling atmospheric rivers and heavy precipitation. The ensemble models allow us to calculate the probability that enhanced water vapor transport will occur, thereby providing situational awareness for decision-making, such as in hazard mitigation and water resource management. The results of this study indicate that the EPS model is on average more skillful than the GEFS model at lead times of ∼6–10 days with a higher success ratio and lower false alarm ratio.",Evaluates the skill of ensemble forecast systems for atmospheric river events and water vapor transport.,Weather and Forecasting,2022,37,11,American Meteorological Society,https://doi.org/10.1175/waf-d-21-0114.1,,FALSE,FALSE,closed,,5,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-22-0099.1,"Seasonal Forecasting of Precipitation, Temperature, and Snow Mass over the Western United States by Combining Ensemble Postprocessing with Empirical Ocean-Atmosphere Teleconnections","Scheftic, W.D., Zeng, X., and Brunke, M.A. (2023). Seasonal Forecasting of Precipitation, Temperature, and Snow Mass over the Western United States by Combining Ensemble Postprocessing with Empirical Ocean-Atmosphere Teleconnections. Weather and Forecasting. 38(8). 1413-1427. doi:10.1175/WAF-D-22-0099.1.",William D. Scheftic; Xubin Zeng; Michael A. Brunke,University of Arizona,,geological and earth sciences,snow,0.95,"Accurate and reliable seasonal forecasts are important for water and energy supply management. Recognizing the important role of snow water equivalent (SWE) for water management, here we include the seasonal forecast of SWE in addition to precipitation ( P ) and 2-m temperature (T2m) over hydrologically defined regions of the western United States. A two-stage process is applied to seasonal predictions from two models (NCEP CFSv2 and ECMWF SEAS5) through 1) postprocessing to remove biases in the mean, variance, and ensemble spread and 2) further reducing the residual errors by linear regression using climate indices. The adjusted forecasts from the two models are combined to form a superensemble using weights based on their prior skill. The adjusted forecasts are consistently improved over raw model forecasts probabilistically for all variables and deterministically for SWE forecasts. Overall skill of the superensemble usually improves upon the skill of forecasts from individual models; however, the percentage of seasons and regions with increased skill was approximately the same as those with decreased skill relative to the top performing postprocessed individual model. Seasonal SWE has the highest prediction skill, followed by T2m, with P showing lower prediction skill. Persistence contributes strongly to the skill of SWE and moderately to the skill of T2m. Furthermore, a distinct seasonality in the skill is seen in SWE, with a higher skill from late spring through early summer. Significance Statement Here we test the postprocessing of seasonal forecasts from two state-of-the-art seasonal prediction models for traditionally forecasted elements of precipitation and temperature as well as snowpack, which is important for water management. A two-stage procedure is utilized, including ocean and atmospheric teleconnection indices that have been shown to impact seasonal weather across the western United States. First, we adjust model output based on the average error in historic runs and then relate the remaining error to these teleconnection indices. A final step combines each adjusted model based on its historic performance. Forecasts are shown to improve upon the original models when assessed probabilistically. The snowpack forecasts perform better than temperature and precipitation forecasts with the best performance from late winter through early summer. Persistence is found to contribute strongly to the skill of snowpack and moderately to the skill of temperature.",Focuses on seasonal forecasting of snow mass and snow water equivalent (SWE).,Weather and Forecasting,2023,38,8,American Meteorological Society,https://doi.org/10.1175/waf-d-22-0099.1,,FALSE,FALSE,closed,,1,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-23-0025.1,Impacts of Dropsonde Observations on Forecasts of Atmospheric Rivers and Associated Precipitation in the NCEP GFS and ECMWF IFS Models,"DeHaan, L.L., Wilson, A.M., Kawzenuk, B., Zheng, M., Monache, L.D., Wu, X., Lavers, D.A., and Ingleby, B. et al. (2023). Impacts of Dropsonde Observations on Forecasts of Atmospheric Rivers and Associated Precipitation in the NCEP GFS and ECMWF IFS Models. Weather and Forecasting. 38(12). 2397-2413. doi:10.1175/WAF-D-23-0025.1.",Laurel L. DeHaan; Anna M. Wilson; Brian Kawzenuk; Minghua Zheng; Luca Delle Monache; Xingren Wu; David A. Lavers; Bruce Ingleby; Vijay Tallapragada; Florian Pappenberger; F. Martin Ralph,University of California San Diego; Scripps Institution of Oceanography; United States National Oceanic and Atmospheric Administration; Axiom; European Centre for Medium-Range Weather Forecasts,,atmospheric sciences,meteorology,0.98,"Atmospheric River Reconnaissance has held field campaigns during cool seasons since 2016. These campaigns have provided thousands of dropsonde data profiles, which are assimilated into multiple global operational numerical weather prediction models. Data denial experiments, conducted by running a parallel set of forecasts that exclude the dropsonde information, allow testing of the impact of the dropsonde data on model analyses and the subsequent forecasts. Here, we investigate the differences in skill between the control forecasts (with dropsonde data assimilated) and denial forecasts (without dropsonde data assimilated) in terms of both precipitation and integrated vapor transport (IVT) at multiple thresholds. The differences are considered in the times and locations where there is a reasonable expectation of influence of an intensive observation period (IOP). Results for 2019 and 2020 from both the European Centre for Medium-Range Weather Forecasts (ECMWF) model and the National Centers for Environmental Prediction (NCEP) global model show improvements with the added information from the dropsondes. In particular, significant improvements in the control forecast IVT generally occur in both models, especially at higher values. Significant improvements in the control forecast precipitation also generally occur in both models, but the improvements vary depending on the lead time and metrics used. Significance Statement Atmospheric River Reconnaissance is a program that uses targeted aircraft flights over the northeast Pacific to take measurements of meteorological fields. These data are then ingested into global weather models with the intent of improving the initial conditions and resulting forecasts along the U.S. West Coast. The impacts of these observations on two global numerical weather models were investigated to determine their influence on the forecasts. The integrated vapor transport, a measure of both wind and humidity, saw significant improvements in both models with the additional observations. Precipitation forecasts were also improved, but with differing results between the two models.",Analyzes the impact of dropsonde data on atmospheric river and precipitation forecasts using numerical weather prediction models.,Weather and Forecasting,2023,38,12,American Meteorological Society,https://doi.org/10.1175/waf-d-23-0025.1,,FALSE,TRUE,green,,3,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-23-0170.1,Subseasonal Potential Predictability of Horizontal Water Vapor Transport and Precipitation Extremes in the North Pacific,"Higgins, T.B., Subramanian, A.C., Chapman, W., Lavers, D.A., and Winters, A.C. (2024). Subseasonal Potential Predictability of Horizontal Water Vapor Transport and Precipitation Extremes in the North Pacific. Weather and Forecasting. 39(6). 833-846. doi:10.1175/WAF-D-23-0170.1.",Timothy B. Higgins; Aneesh C. Subramanian; Will Chapman; David A. Lavers; Andrew C. Winters,University of Colorado Boulder; National Center for Atmospheric Research; European Centre for Medium-Range Weather Forecasts,,atmospheric sciences,meteorology,0.95,"Accurate forecasts of weather conditions have the potential to mitigate the social and economic damages they cause. To make informed decisions based on forecasts, it is important to determine the extent to which they could be skillful. This study focuses on subseasonal forecasts out to a lead time of four weeks. We examine the differences between the potential predictability, which is computed under the assumption of a “perfect model,” of integrated vapor transport (IVT) and precipitation under extreme conditions in subseasonal forecasts across the northeast Pacific. Our results demonstrate significant forecast skill of extreme IVT and precipitation events (exceeding the 90th percentile) into week 4 for specific areas, particularly when anomalously wet conditions are observed in the true model state. This forecast skill during weeks 3 and 4 is closely associated with a zonal extension of the North Pacific jet. These findings of the source of skillful subseasonal forecasts over the U.S. West Coast could have implications for water management in these regions susceptible to drought and flooding extremes. Additionally, they may offer valuable insights for governments and industries on the U.S. West Coast seeking to make informed decisions based on extended weather prediction. Significance Statement The purpose of this study is to understand the differences between the ability to predict high amounts of the transport of water vapor and precipitation over the North Pacific 3 and 4 weeks into the future. The results indicate that differences do exist in a region that is relevant to precipitation on the U.S. West Coast. To physically explain why differences in predictability exist, the relationship between weekly extremes of the extension of the jet stream, IVT, and precipitation over the North Pacific is explored. These findings may impact decisions relevant to water management on the U.S. West Coast susceptible to drought and flooding extremes.",Focuses on subseasonal forecasting of atmospheric water vapor transport and precipitation extremes.,Weather and Forecasting,2024,39,6,American Meteorological Society,https://doi.org/10.1175/waf-d-23-0170.1,,FALSE,FALSE,closed,,2,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-24-0070.1,On the use of hindcast skill for merging NMME seasonal forecasts across the western U.S.,"Scheftic, W.D., Zeng, X., Brunke, M.A., DeFlorio, M.J., Ouyed, A., and Sanden, E. (2024). On the use of hindcast skill for merging NMME seasonal forecasts across the western U.S.. Weather and Forecasting. 39. doi:10.1175/WAF-D-24-0070.1.",William D. Scheftic; Xubin Zeng; Michael A. Brunke; Michael J. DeFlorio; Amir Ouyed; Ellen Sanden,University of Arizona; University of California San Diego; Scripps Institution of Oceanography,,atmospheric sciences,climatology,0.95,"Multi-model ensemble forecasts have gained widespread use over the past decade. A yet unresolved issue is whether forecast skill benefits from the use of prior skill from each model in providing a weighted combination. Here we use the available seasonal ensemble forecasts of six models from the North American Multi-Model Ensemble (NMME) to study various aspects of prior skill-based weighting schemes and explore ways to merge multi-model forecasts. First, we post-process each NMME model through quantile mapping and a simple spread error adjustment. Then, using an equal weighted combination as the baseline forecast, we test merging the models together through skill-based weights by varying the prior skill metric and varying how the metrics are aggregated across the different subbasins and time of year. Results confirm prior work that the combined forecasts do outperform individual models. When evaluating prior skill, equal weighting generally performed as well or slightly better than all weighting schemes tried. The skill of the weighting scheme was not found to be strongly dependent on prior metric but did improve when aggregating all forecasted months and subbasins together to provide one overall weight to each model. Also, we found that including an offset to the prior metric that nudged the weights closer to equal weighting improves skill especially at longer leads where individual model skill is low. Results also show that the weighting schemes performed better than regression-based techniques including multiple linear regression and random forest.",Focuses on improving the skill of seasonal climate forecasts.,Weather and Forecasting,2024,39,,American Meteorological Society,https://doi.org/10.1175/waf-d-24-0070.1,,FALSE,FALSE,closed,,0,FALSE,FALSE,FALSE,TRUE,,,
10.1175/WAF-D-24-0088.1,A Case Study of Forecast Uncertainty Prior to a High-Impact Landfalling Atmospheric River in California in January 2021,"Cordeira, J.M., Kawzenuk, B., Bartlett, S.M., Hecht, C., Castellano, C., Roj, S., and Ralph, F.M. (2025). A Case Study of Forecast Uncertainty Prior to a High-Impact Landfalling Atmospheric River in California in January 2021. Weather and Forecasting. 40(8). 1543-1561. doi:10.1175/WAF-D-24-0088.1.",Jason M. Cordeira; Brian Kawzenuk; Samuel M. Bartlett; C. Hecht; Christopher Castellano; S. Roj; F. Martin Ralph,University of California San Diego; Scripps Institution of Oceanography,,atmospheric sciences,meteorology,0.95,"A landfalling atmospheric river (AR) during 26–28 January 2021 along the U.S. West Coast produced heavy rain and snow throughout much of California. A stalling of the AR along the coast focused upslope moisture flux and precipitation in Central California where a debris flow on the site of the 2020 Dolan Fire on Rat Creek closed U.S. Highway 1. This study focuses on illustrating the multimodel forecast uncertainty of the landfalling AR and associated precipitation at lead times of 1–7 days and identifying the synoptic-scale processes responsible for the forecast uncertainty upstream over the North Pacific prior to landfall. The Global Forecast System (GFS) deterministic and ensemble model forecasts provided an additional ∼2–3-day lead time of the landfall of the AR as compared to the European Centre for Medium-Range Weather Forecasts (ECMWF) deterministic and ensemble model forecasts. Once AR landfall was resolved, the ECMWF deterministic and ensemble model forecasts contained better forecasts of the stalling of the AR along the coast and its associated precipitation; both models contained dry precipitation forecast biases along the coast. Model comparisons illustrated that upstream forecast uncertainty was reduced in ECMWF forecasts initialized between 21 and 22 January 2021 and how they resolved the amplification and downstream dispersion of a Rossby wave train on 24–25 January 2021 over the western and central North Pacific. The study also motivates the importance of AR Reconnaissance activities over the North Pacific in reducing forecast uncertainty and the potential value of increasing observations of key physical processes over the western North Pacific. Significance Statement The purpose of this study is to evaluate the sources of upstream forecast uncertainty over the North Pacific basin that influence the likelihood and characteristics of landfalling atmospheric rivers along the U.S. West Coast and their associated precipitation. The results demonstrate the importance of investigating, better observing, and improving forecasts of processes involving tropical and subtropical moisture, cyclone intensification, and jet stream variability.","The article focuses on atmospheric processes, weather patterns, and forecast uncertainty of an atmospheric river event.",Weather and Forecasting,2025,40,8,American Meteorological Society,https://doi.org/10.1175/waf-d-24-0088.1,,FALSE,FALSE,closed,,0,FALSE,FALSE,FALSE,TRUE,,,
